B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11
1289.9137,1393.8337,1635.6362,1441.712,1982.2588,3750.421,4400.2285,4685.5054,4681.4565,2977.1519,2020.7505
1290.3641,1394.5819,1634.0217,1444.1836,1980.1826,3731.2034,4377.948,4665.0894,4661.168,2981.7966,2025.0051
1289.7585,1392.742,1636.0829,1437.9471,1981.1119,3765.5864,4418.4165,4700.4375,4696.1035,2968.2166,2013.4933
1291.0415,1395.7637,1633.5616,1446.4125,1980.1389,3720.3232,4366.575,4651.975,4651.8457,2987.5989,2029.7648
1289.7869,1391.2748,1635.7283,1432.8098,1980.418,3776.5444,4433.5454,4708.1294,4707.4585,2960.4546,2007.371
1291.9575,1397.5238,1633.1245,1450.0457,1977.971,3700.5654,4342.721,4631.0996,4628.668,2991.7314,2034.3859
1290.4299,1390.8401,1637.1475,1428.8027,1978.0135,3787.082,4449.2856,4720.974,4719.921,2951.4548,2000.9429
1293.1315,1398.0679,1631.1534,1451.2599,1973.906,3686.4436,4328.9727,4618.8394,4615.2607,2987.8716,2033.0773
1290.9834,1390.5369,1638.8495,1423.9315,1977.649,3802.7893,4467.482,4736.802,4735.3467,2944.352,1995.6532
1292.2943,1391.0867,1640.0449,1420.5605,1976.1702,3815.9197,4480.0063,4747.447,4743.634,2936.807,1990.5762
1293.9875,1397.6276,1629.4834,1451.8268,1971.0685,3677.7366,4322.261,4613.2344,4609.2925,2989.2717,2034.1711
1293.2762,1390.3832,1639.2938,1415.9834,1973.3177,3818.052,4485.0146,4758.305,4744.921,2928.9033,1986.9938
1295.5789,1392.1151,1639.0632,1413.999,1969.0155,3822.6306,4493.751,4759.8237,4747.4604,2922.9575,1984.8434
1295.7667,1395.8729,1624.8625,1451.1344,1963.1115,3666.9958,4323.7544,4614.2603,4610.8877,2989.7905,2032.975
1297.7673,1396.0685,1642.3655,1412.5535,1969.2627,3837.9346,4510.249,4767.057,4760.4453,2927.163,1986.5919
1300.7119,1396.6187,1645.3368,1409.058,1972.3834,3862.4465,4536.325,4797.192,4783.7915,2937.8052,1991.3793
1296.0187,1397.7404,1625.0966,1453.3832,1962.2253,3665.0166,4326.3364,4617.8066,4613.9937,2988.6106,2031.9481
1304.1074,1397.0125,1651.0444,1408.562,1982.6746,3897.7976,4575.3687,4846.2065,4824.535,2960.502,2002.376
1306.637,1399.9377,1657.557,1411.2811,1993.8641,3924.4668,4606.3164,4880.772,4859.526,2984.0383,2014.9896
1294.9604,1398.7433,1628.1445,1456.9054,1962.1819,3676.8242,4353.155,4641.478,4640.4604,2996.7275,2033.1133
1309.973,1406.6836,1667.4274,1418.889,2008.6151,3949.2976,4635.1523,4906.297,4895.2046,3013.893,2031.8455
1312.3986,1409.5922,1674.3655,1422.1823,2018.647,3965.912,4656.533,4934.5737,4920.59,3037.8955,2045.3436
1314.9613,1411.1776,1680.6448,1425.2048,2032.418,3980.4368,4668.8306,4959.925,4939.233,3067.9666,2065.1975
1316.2987,1416.6847,1688.8298,1431.6619,2044.527,3987.9014,4674.914,4959.996,4948.365,3095.5642,2083.1462
1290.7521,1396.1276,1627.6919,1458.1608,1955.8724,3702.4087,4407.953,4683.8633,4685.943,3004.078,2028.4232
1320.3986,1430.2153,1703.9545,1451.1077,2063.1594,3966.878,4634.6074,4923.6294,4919.9204,3137.3945,2116.501
1286.9813,1390.6293,1626.0852,1453.4486,1951.9242,3735.1816,4467.519,4738.0747,4740.703,3007.0967,2020.35
1322.2721,1434.3147,1707.0177,1456.864,2066.3179,3944.9243,4602.9087,4893.73,4888.105,3147.8867,2127.2358
1322.3892,1437.3651,1707.4382,1462.1401,2064.137,3915.2239,4564.6895,4853.5376,4850.641,3153.135,2134.5962
1322.5192,1438.9866,1702.9917,1462.9503,2054.6113,3884.0476,4523.6685,4814.0767,4811.5234,3145.4207,2133.43
1277.9719,1374.1256,1616.3417,1433.809,1938.0977,3803.4194,4597.0,4864.1265,4862.268,3004.6697,1996.2917
