B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11
1287.2883,1380.0105,1621.2031,1414.1565,1968.7659,3801.289,4486.3027,4784.167,4777.1514,3002.433,2020.9819
1286.796,1378.9474,1618.543,1413.1602,1965.0134,3796.374,4482.4155,4779.1045,4773.6724,2998.1355,2018.0719
1288.3206,1381.7826,1623.8916,1415.7727,1971.8828,3805.9824,4491.325,4786.057,4779.877,3004.7705,2023.1084
1286.5339,1379.1285,1618.094,1413.2465,1963.7202,3800.1794,4489.6196,4784.7686,4781.753,2999.4492,2017.7003
1289.6743,1385.3275,1629.0712,1419.6284,1976.762,3814.2192,4497.7324,4790.9854,4782.989,3009.294,2027.0142
1286.493,1378.6852,1617.8907,1412.9293,1962.8488,3804.2021,4497.2627,4794.7256,4789.294,3000.3909,2017.0491
1291.3563,1388.8289,1634.9305,1423.1034,1983.3003,3828.7856,4508.871,4801.0703,4793.194,3017.133,2031.8756
1286.2825,1377.2037,1617.1797,1411.7386,1962.5367,3810.354,4509.365,4806.9536,4802.236,3004.7417,2017.5491
1293.3403,1392.5819,1641.728,1427.3632,1991.1152,3843.638,4519.7124,4813.213,4801.974,3026.5947,2037.9901
1295.8677,1394.1223,1645.9087,1427.9438,1996.9257,3858.582,4531.324,4824.1416,4811.6855,3030.997,2040.024
1286.1133,1377.965,1618.948,1413.108,1962.749,3814.2363,4516.2427,4814.7227,4808.7324,3008.5896,2018.8815
1298.4579,1396.2892,1651.3232,1429.0146,2003.7113,3878.7178,4549.3306,4841.6816,4828.02,3035.829,2041.4713
1301.0901,1399.2966,1656.065,1430.6401,2009.1919,3890.2312,4558.26,4845.9062,4834.5137,3036.2031,2041.636
1284.9083,1379.0876,1620.0958,1416.163,1960.9591,3815.7622,4529.299,4822.4663,4820.574,3017.1565,2021.4106
1303.9878,1405.0093,1663.4059,1435.1323,2015.4845,3895.0588,4561.5947,4843.2573,4835.8374,3037.8315,2043.6548
1306.7943,1411.6323,1671.6681,1440.747,2020.6453,3897.7703,4562.5405,4844.105,4834.965,3038.5317,2045.8503
1284.7128,1379.7468,1620.582,1418.3383,1957.9161,3810.7795,4531.2036,4822.0596,4820.612,3018.1284,2020.5399
1309.4576,1416.2233,1676.2759,1442.9573,2023.5967,3895.8918,4557.801,4840.083,4827.4434,3038.636,2049.34
1311.3928,1419.8418,1679.111,1442.6019,2023.8179,3899.0403,4560.6704,4837.567,4826.5938,3039.021,2051.857
1284.7706,1379.3997,1620.4294,1418.818,1950.1562,3808.1316,4546.9653,4834.8506,4831.1587,3013.8538,2013.7987
1312.693,1419.4209,1679.5096,1439.8057,2025.7566,3903.3147,4564.32,4839.421,4830.4,3045.2732,2056.6428
1313.3354,1418.4275,1679.4874,1437.215,2026.8363,3913.4775,4576.0996,4851.7695,4843.495,3054.5713,2060.9849
1312.8046,1418.0903,1681.2911,1436.8597,2030.703,3930.048,4593.413,4874.372,4863.7744,3070.4226,2068.5422
1311.8401,1417.1156,1683.1565,1436.415,2034.7711,3949.0508,4618.6025,4903.113,4892.0815,3089.4087,2076.3357
1283.5151,1379.6522,1620.3535,1421.0391,1941.3938,3807.1125,4570.085,4857.7036,4845.7295,3003.1646,2006.007
1308.2318,1405.8846,1672.1293,1422.4828,2030.0338,3970.9824,4652.9404,4946.8306,4936.9995,3110.008,2082.191
1282.1981,1380.8954,1620.5856,1423.8153,1936.117,3805.9456,4584.301,4868.3193,4856.176,2997.4067,2001.955
1306.7509,1400.3374,1664.2655,1416.2772,2023.1725,3959.6497,4644.4673,4938.779,4930.0586,3109.4602,2081.8982
1304.7312,1398.1602,1658.7834,1414.0199,2015.0059,3939.7065,4625.1694,4917.6113,4911.0254,3105.044,2080.8286
1302.5779,1395.0245,1652.0642,1411.0648,2006.6993,3919.9526,4605.0547,4893.1934,4892.9395,3098.9324,2077.537
1277.264,1379.5864,1618.5684,1425.236,1924.288,3812.9006,4626.427,4905.027,4889.5464,2992.58,1993.5491
1297.2773,1387.5193,1636.1147,1403.3164,1983.813,3870.6736,4556.3516,4846.7563,4843.699,3079.2524,2065.9248
1294.2887,1383.5535,1625.9713,1399.0,1970.2817,3842.1782,4528.0503,4813.943,4815.1987,3065.608,2058.384
1291.1003,1379.08,1615.9819,1393.7433,1955.7812,3813.7083,4497.1387,4784.342,4785.151,3050.06,2049.028
1274.0339,1376.6545,1617.1566,1423.2438,1919.6926,3830.637,4663.434,4936.6206,4923.8433,2992.73,1988.2273
1287.4529,1373.4799,1603.5214,1386.9198,1938.8169,3777.7683,4456.7515,4744.4985,4744.766,3030.437,2037.7612
1271.4985,1373.0654,1616.3357,1420.3187,1917.4326,3848.9497,4697.0884,4969.8975,4955.5337,2994.3567,1983.4413
1277.5193,1360.679,1580.0264,1369.8625,1907.9579,3721.3696,4395.4785,4681.015,4688.2764,2998.1936,2014.0006
1273.6105,1351.8058,1567.5691,1359.5399,1895.9569,3704.5212,4380.1943,4664.9995,4677.909,2988.3684,2004.6489
1268.8711,1369.0632,1615.5829,1417.6069,1916.717,3867.4023,4727.0444,5002.375,4984.264,2997.239,1979.7089
1269.8472,1342.1528,1554.5144,1349.686,1886.833,3688.9148,4363.425,4650.243,4663.279,2983.3887,1999.8977
1264.8826,1338.9182,1548.6669,1355.5956,1885.2572,3667.4402,4333.675,4621.3853,4639.405,2993.8545,2009.1122
1264.0865,1339.7294,1548.5763,1362.1619,1888.3132,3651.4846,4313.168,4602.711,4621.782,3000.4827,2018.1467
1265.0345,1364.3472,1614.6868,1415.197,1918.9109,3886.0586,4763.47,5033.554,5017.872,2997.8223,1974.2551
1264.8053,1343.8618,1550.933,1379.5756,1897.8566,3613.8623,4267.756,4564.3135,4573.3867,3020.6438,2045.2438
1266.9474,1348.1512,1554.309,1391.3481,1905.8387,3599.2751,4245.8516,4535.6377,4548.7446,3037.6245,2063.757
1270.8064,1354.3678,1560.5626,1407.5608,1919.3018,3582.651,4220.686,4507.856,4522.631,3061.6304,2089.1204
1263.7986,1363.7688,1617.244,1415.3141,1920.9282,3896.728,4782.14,5050.9517,5032.575,2996.097,1970.6865
1274.0483,1361.3942,1567.7067,1423.3877,1930.3801,3572.6926,4204.471,4485.2173,4506.549,3082.2268,2109.7556
1276.343,1365.0747,1572.4458,1432.6692,1939.6627,3568.817,4196.2754,4479.2764,4498.161,3097.748,2125.346
1264.3671,1363.4397,1619.0157,1412.8021,1921.6516,3904.7969,4798.4697,5068.452,5044.4907,2994.4924,1968.6288
1277.9543,1367.3126,1575.575,1438.8097,1943.9795,3566.7185,4194.514,4482.3677,4497.709,3102.3723,2131.1277
1280.2501,1370.6189,1578.2601,1445.3589,1949.3635,3561.9954,4188.931,4477.812,4493.092,3108.449,2138.1086
1265.2009,1363.9749,1621.5736,1411.632,1924.7284,3913.7441,4811.5557,5076.6274,5054.4736,2999.948,1971.0421
1282.5581,1371.8165,1578.118,1449.3413,1950.8878,3555.2117,4181.081,4464.8687,4485.849,3109.8674,2141.1018
1285.6307,1370.1041,1577.1357,1449.2212,1951.6062,3552.3904,4178.755,4464.1113,4481.4272,3113.181,2144.4148
1266.0269,1366.215,1626.9142,1413.2974,1932.4358,3930.0496,4828.5947,5092.401,5069.95,3015.2488,1979.2512
1288.9415,1371.583,1580.552,1453.0509,1956.714,3548.2678,4176.3286,4466.2725,4476.8457,3123.252,2153.5771
1292.7249,1379.4274,1588.4965,1461.5264,1964.6581,3542.5854,4169.147,4457.458,4467.0894,3132.915,2163.5159
1267.0333,1369.3857,1634.0012,1418.4283,1942.1531,3942.8276,4837.628,5107.002,5079.7495,3035.9204,1991.4138
1296.1359,1388.2245,1597.772,1469.7394,1972.379,3544.316,4165.55,4453.0273,4462.657,3140.3743,2170.5603
1300.0363,1394.486,1606.086,1477.3729,1981.4579,3547.0862,4163.883,4456.6523,4461.3823,3148.9924,2178.9321
1267.568,1371.3386,1639.098,1422.854,1952.7075,3947.9736,4836.207,5106.2476,5079.3027,3058.1506,2005.0065
1303.9293,1401.6279,1615.4194,1486.3884,1991.0585,3551.5986,4165.0894,4459.7837,4464.4385,3157.3389,2187.114
1307.6768,1408.7837,1623.5973,1494.1075,1998.7148,3552.955,4161.6406,4457.1465,4460.375,3159.4255,2192.1443
1313.7236,1419.1808,1635.5863,1506.1936,2011.3903,3562.788,4168.983,4460.852,4464.77,3161.368,2197.2612
1269.7306,1375.2432,1644.6646,1431.1794,1967.7329,3927.3535,4793.8604,5061.704,5035.062,3085.4302,2026.592
1315.1631,1420.7148,1637.3635,1506.9591,2012.4945,3573.672,4184.8564,4475.986,4478.225,3160.1765,2195.0059
1315.6073,1421.9474,1640.2688,1507.0958,2012.2004,3585.7346,4203.745,4499.1245,4496.0645,3156.6885,2190.4302
1271.6987,1376.902,1647.5482,1435.6211,1977.4098,3927.4436,4783.567,5053.554,5024.5293,3103.008,2039.3193
1314.9259,1419.6006,1639.2134,1502.9569,2010.4979,3599.131,4224.981,4523.811,4517.477,3149.5027,2182.5242
1313.7787,1418.593,1639.9747,1500.35,2010.0951,3613.5532,4247.227,4549.9004,4539.0903,3144.0088,2175.5168
1273.8538,1380.0356,1652.5602,1441.5608,1987.5046,3929.5942,4778.032,5050.5776,5018.8906,3120.422,2051.586
1310.3386,1414.6368,1636.2294,1491.6007,2002.9119,3626.807,4269.9355,4573.3438,4558.9375,3129.4028,2160.3123
1276.0416,1383.3228,1658.464,1447.9056,1999.2683,3933.663,4774.959,5048.9434,5015.625,3140.83,2065.2935
1305.1605,1402.9125,1623.4863,1464.6188,1980.7098,3649.5002,4306.1523,4611.359,4593.5615,3084.7712,2120.8145
1302.7812,1396.7947,1617.1702,1448.883,1966.4971,3661.9895,4325.2754,4633.8267,4612.441,3056.5005,2095.3042
1279.3865,1389.4507,1668.8296,1459.0193,2017.9983,3942.4255,4771.215,5043.4395,5012.5854,3173.1558,2086.6555
1300.7522,1390.7621,1611.7854,1435.1871,1957.0496,3674.0967,4343.029,4658.5527,4628.0273,3036.2893,2075.7383
1282.1501,1394.3933,1678.0035,1467.7153,2034.4062,3952.5312,4769.484,5043.2764,5012.082,3200.8218,2104.9187
1293.8282,1379.2949,1598.7874,1398.7769,1928.0566,3698.3499,4375.3433,4690.728,4661.5845,2974.4014,2016.4287
1284.0122,1366.9056,1556.8613,1385.6459,1853.1381,3494.7456,4120.096,4402.57,4378.0405,2780.4775,1915.0029
1279.3246,1360.259,1549.4474,1377.069,1844.5883,3501.5767,4134.2783,4420.1895,4394.0205,2777.3,1907.8638
1274.6318,1353.3992,1541.4413,1368.4272,1836.1239,3505.851,4144.8564,4430.576,4405.427,2773.3904,1901.5826
1288.8971,1373.4413,1563.7463,1393.5476,1861.135,3490.0796,4110.2534,4386.1836,4365.648,2783.74,1921.1268
1285.2852,1400.304,1687.909,1478.1936,2054.2065,3960.1895,4760.7974,5034.7676,5005.256,3233.1057,2127.349
1270.487,1345.3322,1532.0364,1359.6221,1828.9666,3513.2258,4159.332,4444.223,4419.7847,2770.7793,1895.8269
1293.2036,1377.5682,1597.0023,1393.916,1926.1587,3706.5479,4385.3613,4700.456,4672.099,2969.3174,2009.6138
1293.2601,1377.7119,1568.6113,1398.9036,1866.8656,3482.717,4096.565,4371.808,4351.248,2784.6985,1926.0994
1268.1378,1338.7974,1524.8003,1351.7758,1821.1279,3517.1875,4170.636,4455.056,4430.9473,2767.2856,1889.8867
1297.8469,1383.3894,1574.7871,1405.8956,1874.4434,3476.7336,4083.2012,4357.3257,4337.0225,2785.5854,1931.6633
1265.3512,1332.3132,1517.0602,1343.0339,1812.1595,3519.693,4181.91,4468.6255,4441.562,2762.363,1882.4606
1263.9983,1327.3678,1510.5856,1336.2662,1803.4215,3516.3438,4183.5425,4469.3193,4441.4814,2755.2668,1875.9767
1306.1687,1394.9895,1588.4121,1419.4991,1889.0397,3472.4397,4069.9832,4343.0786,4322.3486,2788.9194,1943.1752
1288.309,1405.594,1697.1735,1488.5765,2071.386,3965.0193,4749.34,5022.2944,4995.1543,3261.0063,2146.5444
1310.0759,1401.303,1595.6731,1426.9218,1896.6135,3473.219,4066.2727,4339.8877,4318.711,2793.8096,1950.3701
1263.146,1325.3855,1507.8318,1333.6852,1798.9515,3517.9702,4186.1846,4477.625,4443.893,2753.1946,1873.6022
1293.3425,1373.2197,1592.1923,1387.3016,1923.2472,3705.0864,4388.098,4695.4106,4671.6353,2963.9246,2004.8153
1314.0941,1406.391,1601.692,1433.5809,1903.6698,3470.8318,4060.3145,4335.1934,4311.9316,2797.6218,1957.4342
1294.5933,1377.7826,1597.9082,1391.6476,1929.5184,3710.3862,4389.7124,4693.2812,4675.3394,2972.8135,2010.3384
