Longitude,Latitude,UHI Index
-77.30169667,39.10924667,0.99662733
-77.30038167,39.11336167,0.9849955
-77.300285,39.10843333,0.9892644
-77.299315,39.10788,0.993143
-77.2993,39.115225,0.9799276
-77.29857667,39.11649833,0.9778205
-77.29818667,39.16847,1.0016773
-77.298055,39.166535,0.99551284
-77.29798,39.16643167,0.99551284
-77.29793667,39.17146,1.0280997
-77.29792333,39.117495,0.9862769
-77.29785167,39.17129667,1.0275931
-77.29781,39.16623167,0.9993037
-77.297805,39.17175333,1.0206228
-77.29772,39.16613833,1.0041574
-77.29757667,39.171865,1.024985
-77.29729667,39.17206,1.0212818
-77.2972,39.16077167,0.9874763
-77.29710667,39.11821,0.9780041
-77.297,39.16379167,1.0162684
-77.29696333,39.17233833,1.0181175
-77.296885,39.12878833,0.99105227
-77.29687,39.10639,0.9961451
-77.29677333,39.16409,1.0108839
-77.29673833,39.10631,0.99317575
-77.296675,39.16330667,1.0085955
-77.29662333,39.12991167,0.9930407
-77.29659333,39.16306667,0.99438924
-77.29656167,39.16197667,1.0018772
-77.29654333,39.15968833,0.99923533
-77.29652833,39.11880667,0.9913669
-77.29649167,39.15973833,1.0096401
-77.29644833,39.15989333,1.0022466
-77.29627,39.12627833,0.9873705
-77.29623667,39.13114833,0.97704047
-77.29621333,39.11905,0.9796311
-77.29612333,39.13141,0.97576267
-77.29611333,39.17306833,0.9928348
-77.29605333,39.12598333,0.9946433
-77.29600167,39.119225,0.9866187
-77.29600167,39.13166833,0.98806304
-77.29598,39.15933333,0.9951423
-77.29571167,39.11955833,0.98396194
-77.29563167,39.11967333,0.99050945
-77.29552667,39.14018333,0.9918927
-77.29538833,39.132755,0.9986799
-77.29536667,39.12016833,0.99761176
-77.29531667,39.13288167,0.989361
-77.29522,39.15911333,0.9998937
-77.29518,39.12410833,0.9650637
-77.295145,39.120805,0.99931854
-77.29511,39.13807667,0.9968667
-77.29486333,39.122005,0.99502057
-77.29485,39.17392667,1.0256214
-77.29484667,39.10514667,0.99054116
-77.29477667,39.13701833,0.98734796
-77.29471333,39.17395167,0.9939295
-77.29451,39.13600333,1.0059811
-77.294095,39.15959,0.9983977
-77.29407167,39.15972167,0.9822655
-77.29402,39.159975,0.9872837
-77.29388167,39.16039167,0.98669267
-77.29378667,39.16056667,0.985385
-77.29366167,39.14317333,0.9414571
-77.29322333,39.16127833,0.9829981
-77.29300167,39.16155167,0.98976195
-77.292675,39.16150333,0.99088347
-77.29257667,39.144895,0.93880236
-77.29242833,39.16093167,0.98330796
-77.29240667,39.16137667,0.9832063
-77.29237,39.15939167,0.99735904
-77.29224167,39.16120333,0.9820892
-77.29213167,39.15934833,0.9881795
-77.29192167,39.17356167,0.9990249
-77.29179333,39.17353333,1.0065049
-77.29134167,39.10306833,1.0067291
-77.29074,39.15878333,0.9927912
-77.29073,39.1732,1.0042933
-77.29020667,39.15935167,0.9879297
-77.29009333,39.14848833,0.9644716
-77.28995667,39.14873833,0.9648295
-77.28986,39.17273667,0.9979523
-77.28985167,39.18187,0.9923447
-77.28964,39.18267833,1.0119038
-77.28954,39.14963333,0.9701412
-77.28931167,39.17240667,0.9991232
-77.28931,39.16959167,0.9958439
-77.289255,39.169445,0.9958439
-77.28901167,39.17206,1.018249
-77.28885333,39.15124167,0.9649039
-77.288715,39.16108333,1.0019948
-77.28846667,39.15247,0.99139446
-77.28824833,39.15307333,0.9601037
-77.28823667,39.10333,0.9936089
-77.28818333,39.16920833,0.99921155
-77.28803333,39.18373333,1.0267196
-77.28760667,39.18370833,0.9881236
-77.28738333,39.15412833,0.9766687
-77.287285,39.10356167,0.99350446
-77.28719667,39.16217,1.0054133
-77.286425,39.153745,1.0044494
-77.28626167,39.16260333,1.0051607
-77.28531,39.18344,0.9826047
-77.28527833,39.15355667,0.9605479
-77.28520333,39.15390667,0.96059847
-77.28519833,39.153845,0.99972457
-77.28512167,39.15415667,0.95888954
-77.284675,39.19555167,0.99362314
-77.28467333,39.19446333,0.9840426
-77.28401667,39.19703833,0.99470615
-77.28383,39.172985,1.0119013
-77.28376667,39.10609833,0.9945526
-77.28374833,39.18669,0.99362975
-77.28369833,39.193665,0.9873481
-77.28367833,39.18634833,0.99912
-77.28365833,39.170815,1.002441
-77.28348833,39.16912833,0.99086857
-77.28339167,39.17011333,0.9974332
-77.28332333,39.106485,0.999897
-77.283305,39.16920333,0.9990565
-77.28324333,39.169805,0.9946158
-77.28319667,39.16970833,0.98727167
-77.28313833,39.19740667,0.99776137
-77.28313,39.18563667,1.002103
-77.28288667,39.19743167,0.99776137
-77.28284167,39.17601167,1.0062762
-77.282835,39.16256667,0.9991088
-77.282765,39.10695,0.9990581
-77.282445,39.19025333,1.0174956
-77.28219667,39.16224833,1.0099356
-77.28198667,39.11299667,0.9841178
-77.28186333,39.19208667,0.99320775
-77.28178667,39.11269167,0.9965638
-77.28172333,39.19056667,0.994134
-77.28149167,39.15409833,0.99307865
-77.28140333,39.15415167,0.99307865
-77.28139333,39.11371167,0.99105555
-77.28139333,39.19161167,1.0116808
-77.28132333,39.11379667,0.988268
-77.28125,39.15425833,0.96271384
-77.28117333,39.19699333,0.9947276
-77.28114833,39.19146667,1.0053189
-77.28111667,39.154345,1.0041735
-77.28109167,39.19082667,0.9877367
-77.28105,39.1142,0.97790265
-77.28097667,39.15438667,0.96288526
-77.28093333,39.114655,0.9921038
-77.28093167,39.190935,1.0072017
-77.28084833,39.154345,0.96288526
